store_id,CLUSTER,CLUSNAME,VAR1,n,avg
470,1,CL9,466,27,1025.9259259
471,1,CL9,467,104,835.86538462
472,1,CL9,468,1699,102.60035315
473,1,CL9,469,464,148.50862069
475,1,CL9,471,73,334.38356164
476,1,CL9,472,604,1358.7798013
478,1,CL9,474,201,175.62189055
479,1,CL9,475,4,96
480,1,CL9,476,21,1846.9047619
482,1,CL9,477,106,462.23584906
483,1,CL9,478,31,302
484,1,CL9,479,681,166.030837
485,1,CL9,480,142,1819.8380282
487,1,CL9,482,2371,118.42007592
488,1,CL9,483,44,118.65909091
489,1,CL9,484,11,972.27272727
490,1,CL9,485,1472,723.51902174
491,1,CL9,486,549,94.333333333
492,1,CL9,487,2271,753.93747248
493,1,CL9,488,121,1280.8264463
496,1,CL9,491,652,203.95705521
499,1,CL9,494,883,69.133635334
502,1,CL9,497,186,120.00537634
505,1,CL9,500,122,81.106557377
507,1,CL9,502,72,1613.3611111
508,1,CL9,503,2887,197.88084517
509,1,CL9,504,9,1570
511,1,CL9,506,3103,241.87495972
512,1,CL9,507,898,322.27282851
513,1,CL9,508,626,1075.1038339
514,1,CL9,509,497,369.01207243
515,1,CL9,510,91,327.47252747
516,1,CL9,511,209,168.81339713
518,1,CL9,513,2316,168.86658031
519,1,CL9,514,180,2186.2166667
520,1,CL9,515,184,70.961956522
521,1,CL9,516,354,204.64689266
522,1,CL9,517,684,233.60526316
523,1,CL9,518,181,69.464088398
524,1,CL9,519,198,94.378787879
525,1,CL9,520,80,345.3375
527,1,CL9,522,97,422.75257732
529,1,CL9,524,257,953.21400778
530,1,CL9,525,124,307.82258065
531,1,CL9,526,2544,239.63561321
533,1,CL9,528,650,150.03384615
534,1,CL9,529,340,261.51470588
535,1,CL9,530,24,1550
537,1,CL9,532,439,408.46241458
538,1,CL9,533,80,1466.875
540,1,CL9,535,152,1094.4276316
541,1,CL9,536,848,186.0990566
542,1,CL9,537,618,100.24595469
543,1,CL9,538,198,443.86363636
544,1,CL9,539,383,97.229765013
546,1,CL9,541,1165,26.564806867
547,1,CL9,542,859,116.7112922
548,1,CL9,543,15,844.66666667
549,1,CL9,544,1714,56.070011669
550,1,CL9,545,1383,36.966015907
551,1,CL9,546,198,163.82323232
552,1,CL9,547,196,1302.9030612
553,1,CL9,548,306,922.2875817
556,1,CL9,551,1886,113.18345705
559,1,CL9,553,545,113.94495413
560,1,CL9,554,2583,169.82655827
562,1,CL9,556,96,1451.4791667
563,1,CL9,557,93,171.30107527
564,1,CL9,558,2041,364.64821166
565,1,CL9,559,1271,115.23052714
566,1,CL9,560,1703,165.40164416
567,1,CL9,561,140,169.07142857
569,1,CL9,563,2874,93.980862909
570,1,CL9,564,1295,155.94826255
571,1,CL9,565,73,2059.5890411
572,1,CL9,566,2132,85.091932458
573,1,CL9,567,129,448.72093023
574,1,CL9,568,2370,128.90970464
575,1,CL9,569,797,33.499372647
576,1,CL9,570,610,138.20491803
577,1,CL9,571,62,1361.0645161
578,1,CL9,572,8,1225
579,1,CL9,573,1176,232.80272109
580,1,CL9,574,423,584.33806147
581,1,CL9,575,683,105.79062958
582,1,CL9,576,464,242.66594828
583,1,CL9,577,551,739.60980036
585,1,CL9,579,271,2157.398524
586,1,CL9,580,2276,122.54173989
588,1,CL9,582,1913,183.20386827
590,1,CL9,584,396,222.47727273
594,1,CL9,588,30,614.03333333
596,1,CL9,590,1143,321.05511811
598,1,CL9,592,2119,99.121755545
600,1,CL9,594,30,1661.3333333
601,1,CL9,595,5,2090
602,1,CL9,596,229,152.79475983
603,1,CL9,597,308,93.74025974
604,1,CL9,598,26,190.76923077
605,1,CL9,599,69,188.79710145
607,1,CL9,601,2267,167.08292898
608,1,CL9,602,1,5
610,1,CL9,604,570,194.30701754
611,1,CL9,605,164,370.53658537
612,1,CL9,606,191,1203.6649215
614,1,CL9,608,1064,56.607142857
616,1,CL9,610,97,1515.1237113
618,1,CL9,612,357,39.971988796
619,1,CL9,613,1572,136.24300254
620,1,CL9,614,195,1343.2564103
621,1,CL9,615,86,304.29069767
622,1,CL9,616,251,180.34262948
623,1,CL9,617,11,1536.3636364
624,1,CL9,618,396,320.75
625,1,CL9,619,24,450.25
626,1,CL9,620,1417,685.55822159
627,1,CL9,621,218,132.93577982
628,1,CL9,622,16,1236
631,1,CL9,625,353,116.86402266
633,1,CL9,627,33,317.27272727
634,1,CL9,628,74,173.98648649
635,1,CL9,629,2569,113.7878552
636,1,CL9,630,268,123.2761194
638,1,CL9,632,197,44.593908629
639,1,CL9,633,800,59.81125
640,1,CL9,634,345,94.95942029
641,1,CL9,635,13,971.53846154
642,1,CL9,636,28,1958.6785714
643,1,CL9,637,21,1309.5238095
645,1,CL9,639,872,69.542431193
646,1,CL9,640,565,107.86902655
647,1,CL9,641,619,327.40710824
648,1,CL9,642,2019,118.8875681
649,1,CL9,643,894,152.7639821
650,1,CL9,644,81,1108.3209877
652,1,CL9,646,62,511.93548387
653,1,CL9,647,71,569.71830986
654,1,CL9,648,255,678.03921569
655,1,CL9,649,312,150.14423077
656,1,CL9,650,77,1103.4675325
657,1,CL9,651,1,2000
658,1,CL9,652,185,1564.4918919
659,1,CL9,653,769,465.73472042
660,1,CL9,654,691,172.7698987
661,1,CL9,655,279,118.2078853
662,1,CL9,656,87,1178.1609195
663,1,CL9,657,347,207.21902017
664,1,CL9,658,6,169.16666667
665,1,CL9,659,25,1100.2
666,1,CL9,660,89,682.92134831
667,1,CL9,661,231,402.06060606
669,1,CL9,663,30,1191.6666667
670,1,CL9,664,1098,53.452641166
671,1,CL9,665,116,78.922413793
672,1,CL9,666,561,97.889483066
673,1,CL9,667,73,547.94520548
675,1,CL9,669,133,2010
676,1,CL9,670,211,175.33175355
677,1,CL9,671,344,865.79069767
678,1,CL9,672,184,137.42391304
679,1,CL9,673,17,34.705882353
680,1,CL9,674,37,775.08108108
681,1,CL9,675,529,273.45935728
683,1,CL9,677,1093,576.80878317
684,1,CL9,678,75,164.93333333
685,1,CL9,679,2112,86.337594697
686,1,CL9,680,538,232.41078067
687,1,CL9,681,15,152
688,1,CL9,682,17,211.23529412
690,1,CL9,684,110,104.5
692,1,CL9,686,702,233.5
693,1,CL9,687,118,293.1779661
694,1,CL9,688,36,223.88888889
695,1,CL9,689,2387,232.1679933
696,1,CL9,690,500,275.65
698,1,CL9,692,794,339.09949622
699,1,CL9,693,269,280.39033457
701,1,CL9,695,2349,207.84546616
702,1,CL9,696,2027,82.83275777
703,1,CL9,697,1,5
704,1,CL9,698,231,632.68398268
705,1,CL9,699,2641,215.59522908
706,1,CL9,700,911,224.13282108
707,1,CL9,701,890,77
708,1,CL9,702,126,1502.5396825
709,1,CL9,703,742,61.486522911
710,1,CL9,704,19,128.94736842
711,1,CL9,705,301,756.72757475
712,1,CL9,706,973,158.07399794
713,1,CL9,707,194,714.89690722
714,1,CL9,708,45,1703.3333333
716,1,CL9,710,2539,93.593540764
717,1,CL9,711,308,139.93181818
718,1,CL9,712,3,213.33333333
720,1,CL9,714,687,69.991266376
721,1,CL9,715,481,101.24740125
722,1,CL9,716,1176,284.20918367
723,1,CL9,717,1471,276.07138001
724,1,CL9,718,1577,196.84210526
725,1,CL9,719,1173,221.2455243
726,1,CL9,720,1362,221.23421439
727,1,CL9,721,1,500
730,1,CL9,724,1096,212.01277372
731,1,CL9,725,492,159.39837398
732,1,CL9,726,574,336.51219512
733,1,CL9,727,163,191.60122699
734,1,CL9,728,48,87.6875
735,1,CL9,729,30,486.83333333
736,1,CL9,730,583,232.65008576
737,1,CL9,731,189,395.16931217
738,1,CL9,732,194,1913.4793814
739,1,CL9,733,262,538.39694656
740,1,CL9,734,63,558.44444444
741,1,CL9,735,1503,96.653359947
742,1,CL9,736,332,131.47590361
743,1,CL9,737,81,691.97530864
744,1,CL9,738,177,83.90960452
745,1,CL9,739,936,101.28525641
746,1,CL9,740,26,1290.2692308
747,1,CL9,741,649,150.02311248
748,1,CL9,742,116,2137.7155172
749,1,CL9,743,111,2227.3873874
751,1,CL9,745,11,172.45454545
752,1,CL9,746,140,115.78571429
754,1,CL9,748,1330,480.03233083
755,1,CL9,749,1073,102.68219944
756,1,CL9,750,297,282.53198653
757,1,CL9,751,213,112.04225352
758,1,CL9,752,54,282.77777778
759,1,CL9,753,157,344.93630573
760,1,CL9,754,535,376.25420561
761,1,CL9,755,38,385.5
762,1,CL9,756,29,71.068965517
763,1,CL9,757,26,206.73076923
764,1,CL9,758,117,99.58974359
765,1,CL9,759,249,201.40562249
766,1,CL9,760,330,177.9969697
769,1,CL9,762,1781,187.80179674
772,1,CL9,765,2043,103.7875673
773,1,CL9,766,284,337.83450704
774,1,CL9,767,182,477.33516484
776,1,CL9,769,866,207.34180139
777,1,CL9,770,2731,119.91285244
778,1,CL9,771,1248,163.52964744
779,1,CL9,772,58,209.96551724
780,1,CL9,773,395,451.05063291
781,1,CL9,774,694,200.25936599
783,1,CL9,776,879,29.002275313
785,1,CL9,778,544,76.382352941
786,1,CL9,779,33,85.181818182
787,1,CL9,780,358,329.1396648
788,1,CL9,781,609,78.208538588
789,1,CL9,782,23,137.39130435
790,1,CL9,783,1848,51.858766234
791,1,CL9,784,1766,209.78935447
792,1,CL9,785,438,288.35616438
794,1,CL9,787,19,352.63157895
795,1,CL9,788,10,1062.5
796,1,CL9,789,253,255.53359684
797,1,CL9,790,1190,184.7092437
799,1,CL9,792,120,318.10833333
802,1,CL9,795,2394,233.5192147
804,1,CL9,796,268,726.11940299
805,1,CL9,797,158,202.84810127
806,1,CL9,798,380,267.34473684
807,1,CL9,799,1746,38.251431844
808,1,CL9,800,4,68.75
809,1,CL9,801,1309,51.417876241
810,1,CL9,802,1738,2115.938435
811,1,CL9,803,508,108.4980315
812,1,CL9,804,2131,111.98732989
813,1,CL9,805,2850,165.88245614
814,1,CL9,806,26,1478.4615385
815,1,CL9,807,792,180.71338384
816,1,CL9,808,6,156.66666667
817,1,CL9,809,120,203.475
818,1,CL9,810,565,23.527433628
819,1,CL9,811,124,984.46774194
820,1,CL9,812,57,1365.877193
821,1,CL9,813,104,198.63461538
823,1,CL9,815,510,101.34117647
826,1,CL9,818,2,2.5
827,1,CL9,819,115,1959.4347826
829,1,CL9,821,240,833.85416667
830,1,CL9,822,294,175.05102041
831,1,CL9,823,59,296.77966102
832,1,CL9,824,336,316.9047619
833,1,CL9,825,1257,327.41129674
834,1,CL9,826,1644,120.10218978
835,1,CL9,827,371,2259.3126685
836,1,CL9,828,37,351.75675676
837,1,CL9,829,476,600.09453782
838,1,CL9,830,12,251.66666667
839,1,CL9,831,159,1368.3144654
840,1,CL9,832,122,474.31967213
841,1,CL9,833,2505,178.06826347
842,1,CL9,834,150,752.3
843,1,CL9,835,934,121.98929336
844,1,CL9,836,634,39.391167192
845,1,CL9,837,137,16.635036496
849,1,CL9,841,66,364.46969697
850,1,CL9,842,657,44.671232877
851,1,CL9,843,1135,125.45638767
852,1,CL9,844,2938,107.58849558
853,1,CL9,845,794,219.30352645
854,1,CL9,846,142,54.457746479
855,1,CL9,847,1139,96.137840211
856,1,CL9,848,1360,72.030147059
857,1,CL9,849,2834,428.80416373
858,1,CL9,850,52,262.40384615
859,1,CL9,851,4,28.75
861,1,CL9,853,1677,176.02385212
862,1,CL9,854,384,1622.4348958
863,1,CL9,855,1099,199.41310282
864,1,CL9,856,63,167.61904762
865,1,CL9,857,439,146.48974943
866,1,CL9,858,2,0
867,1,CL9,859,900,496.77666667
868,1,CL9,860,709,552.16643159
870,1,CL9,862,713,37.70687237
872,1,CL9,864,732,149.64480874
874,1,CL9,866,26,419.23076923
875,1,CL9,867,4,1920
877,1,CL9,869,263,449.77186312
878,1,CL9,870,202,90.034653465
880,1,CL9,872,66,1868.1060606
881,1,CL9,873,1065,70.048826291
882,1,CL9,874,18,169.44444444
883,1,CL9,875,1234,191.81037277
884,1,CL9,876,1767,108.10073571
885,1,CL9,877,58,1929.2413793
887,1,CL9,879,2699,75.609484994
888,1,CL9,880,259,1084.3127413
889,1,CL9,881,2278,153.5667252
891,1,CL9,883,357,813.47338936
892,1,CL9,884,419,98.661097852
893,1,CL9,885,1271,110.20220299
894,1,CL9,886,1571,193.68300446
895,1,CL9,887,519,40.83044316
896,1,CL9,888,706,770.67280453
897,1,CL9,889,724,126.10497238
899,1,CL9,891,27,716.74074074
900,1,CL9,892,716,203.27513966
902,1,CL9,893,126,685.71428571
903,1,CL9,894,136,762.22058824
904,1,CL9,895,2295,36.925925926
905,1,CL9,896,22,1462.0454545
906,1,CL9,897,19,265.52631579
907,1,CL9,898,2922,27.05338809
908,1,CL9,899,85,71.235294118
909,1,CL9,900,1195,116.10292887
910,1,CL9,901,134,778.17164179
911,1,CL9,902,623,86.760834671
912,1,CL9,903,524,47.849236641
913,1,CL9,904,33,87.333333333
915,1,CL9,906,19,781.15789474
916,1,CL9,907,1584,28.525252525
918,1,CL9,909,550,160.56181818
919,1,CL9,910,28,231.10714286
920,1,CL9,911,2670,129.05318352
921,1,CL9,912,232,83.922413793
924,1,CL9,915,366,1629.6502732
925,1,CL9,916,527,820.92409867
926,1,CL9,917,440,138.64772727
927,1,CL9,918,12,877.5
929,1,CL9,920,834,70.628297362
930,1,CL9,921,969,1689.6109391
931,1,CL9,922,132,41.181818182
932,1,CL9,923,1074,102.04469274
933,1,CL9,924,7,592.85714286
934,1,CL9,925,809,322.8986403
935,1,CL9,926,647,60.964451314
936,1,CL9,927,275,134.10909091
937,1,CL9,928,2672,70.135853293
938,1,CL9,929,1981,842.88036345
939,1,CL9,930,38,1019.8684211
940,1,CL9,931,55,105.81818182
941,1,CL9,932,933,111.17577706
943,1,CL9,934,2142,63.535947712
944,1,CL9,935,352,238.92329545
945,1,CL9,936,2106,147.63437797
947,1,CL9,938,403,59.138957816
948,1,CL9,939,1579,64.981000633
949,1,CL9,940,27,224.33333333
950,1,CL9,941,44,1225.2272727
951,1,CL9,942,1,1500
952,1,CL9,943,49,108
954,1,CL9,945,1718,47.685098952
955,1,CL9,946,496,388.24596774
956,1,CL9,947,2603,321.72493277
957,1,CL9,948,1342,245.50968703
959,1,CL9,950,20,1213.75
960,1,CL9,951,1080,149.36944444
961,1,CL9,952,27,366.96296296
962,1,CL9,953,1109,218.03967538
964,1,CL9,955,163,263.52760736
965,1,CL9,956,162,1268.7592593
966,1,CL9,957,1839,84.604676455
967,1,CL9,958,595,512.12268908
968,1,CL9,959,371,340.08894879
969,1,CL9,960,30,1440
970,1,CL9,961,585,75.109401709
971,1,CL9,962,30,2155.8333333
972,1,CL9,963,45,900.55555556
973,1,CL9,964,432,319.91435185
975,1,CL9,966,177,205.50847458
976,1,CL9,967,579,297.2970639
977,1,CL9,968,53,1743.7735849
979,1,CL9,970,2968,145.54481132
980,1,CL9,971,431,111.40139211
981,1,CL9,972,128,198.4140625
983,1,CL9,974,370,902.24324324
984,1,CL9,975,61,110.19672131
985,1,CL9,976,1325,129.53962264
986,1,CL9,977,2572,198.55326594
987,1,CL9,978,194,356.62371134
988,1,CL9,979,8,0
989,1,CL9,980,201,745.24875622
990,1,CL9,981,869,178.39125432
991,1,CL9,982,1,600
992,1,CL9,983,5,675
