"","store_id","CLUSTER","CLUSNAME","VAR1","n","avg"
"39",60,1,"CL9",58,7.25276241805319,4.89360799265082
"40",61,1,"CL9",59,0.693147180559945,6.29618808541461
"41",62,1,"CL9",60,3.49650756146648,5.19042840456217
"42",63,1,"CL9",61,5.95842469302978,4.67379434176109
"43",67,1,"CL9",65,7.646353722446,3.95432617671071
"44",69,1,"CL9",67,5.27811465923052,7.66955717864196
"45",70,1,"CL9",68,6.73696695800186,4.53007075617184
"46",71,1,"CL9",69,7.68937110752969,4.62779111118845
"47",72,1,"CL9",70,5.48063892334199,4.98890080195025
"48",74,1,"CL9",72,4.21950770517611,5.43980416320206
"49",75,1,"CL9",73,6.49828214947643,4.78624850035969
"50",76,1,"CL9",74,3.25809653802148,5.11337699904072
"51",77,1,"CL9",75,4.34380542185368,6.60875397379252
"52",78,1,"CL9",76,6.16120732169508,5.03181586348944
"53",79,1,"CL9",77,2.99573227355399,5.83845904464808
"54",80,1,"CL9",78,7.06646697013696,4.90883939474913
"55",81,1,"CL9",79,2.07944154167984,6.02526192669127
"56",83,1,"CL9",81,3.49650756146648,6.21914325358215
"57",84,1,"CL9",82,4.71849887129509,6.49498228319067
"58",86,1,"CL9",84,6.70073110954781,5.2377038916351
"59",87,1,"CL9",85,6.65415252018322,6.2848527634113
"60",89,1,"CL9",87,5.50533153593236,5.81669973194545
"61",90,1,"CL9",88,3.73766961828337,4.90879590886513
"62",91,1,"CL9",89,7.22548147278229,5.50434289340261
"63",92,1,"CL9",90,7.38523092306657,4.58941395156416
"64",93,1,"CL9",91,4.15888308335967,5.1861629914688
"65",94,1,"CL9",92,6.2709884318583,4.73949285333468
"66",95,1,"CL9",93,5.99396142730657,4.33495724598386
"67",96,1,"CL9",94,7.60688453121963,3.70375337632737
"68",98,1,"CL9",96,7.59890045687141,3.47025037157751
"69",99,1,"CL9",97,1.79175946922805,7.38295372508425
"70",100,1,"CL9",98,7.10496544826984,5.45388505741221
"71",101,1,"CL9",99,2.07944154167984,4.51633897228148
"72",102,1,"CL9",100,4.61512051684126,5.50283304579965
"73",103,1,"CL9",101,4.49980967033027,5.50239135515096
"74",106,1,"CL9",104,7.90544164906029,6.02584994188521
"75",107,1,"CL9",105,4.94875989037817,4.01580781221654
"76",108,1,"CL9",106,2.63905732961526,5.9523152599678
"77",112,1,"CL9",110,6.05678401322862,5.2737918945314
"78",113,1,"CL9",111,3.43398720448515,7.47270245190893
"79",114,1,"CL9",112,6.45990445437753,3.12427275025806
"80",115,1,"CL9",113,7.3132203870903,3.47014284460756
"81",116,1,"CL9",114,5.5834963087817,5.87051744151695
"82",117,1,"CL9",115,5.88610403145016,5.18637660649103
"83",119,1,"CL9",117,5.4510384535657,5.76576946014348
"84",120,1,"CL9",118,7.93951526066241,4.61346781068639
"85",121,1,"CL9",119,7.84384863815247,6.22812650767027
"86",122,1,"CL9",120,2.89037175789616,7.42307080804089
"87",124,1,"CL9",122,5.19849703126583,7.09173751866196
"88",125,1,"CL9",123,3.58351893845611,6.25302720831972
"89",127,1,"CL9",125,4.77068462446567,5.30064516357506
"90",128,1,"CL9",126,3.52636052461616,7.41253324070914
"91",129,1,"CL9",127,6.66949808985788,6.03681636796785
"92",130,1,"CL9",128,3.55534806148941,6.63707078290267
"93",131,1,"CL9",129,6.17170059741091,5.70319078954508
"94",132,1,"CL9",130,5.28826703069454,5.40285936549244
"95",133,1,"CL9",131,3.87120101090789,5.7291523646067
"96",135,1,"CL9",133,6.34738920965601,5.41798226532209
"97",136,1,"CL9",134,2.56494935746154,6.27765512321938
"98",137,1,"CL9",135,7.51588908521513,4.57708204919947
"99",138,1,"CL9",136,7.46565531013406,6.13039739596703
"100",139,1,"CL9",137,7.0057890192535,6.49151427721554
"101",141,1,"CL9",139,5.11799381241676,6.13868364558593
"102",142,1,"CL9",140,5.95842469302978,7.46491696910994
"103",143,1,"CL9",141,6.18001665365257,5.95146174765893
"104",144,1,"CL9",142,7.66622192566273,4.73104529472841
"105",145,1,"CL9",143,5.19849703126583,5.63459226719979
"106",146,1,"CL9",144,5.19849703126583,5.78055592572928
"107",147,1,"CL9",145,4.75359019110636,5.19678094731526
"108",149,1,"CL9",147,5.43372200355424,7.17061992208551
"109",150,1,"CL9",148,5.90536184805457,3.96678982416304
"110",151,1,"CL9",149,4.64439089914137,6.53766659592302
"111",153,1,"CL9",151,6.32793678372919,5.03064798338016
"112",154,1,"CL9",152,4.39444915467244,7.38582811629928
"113",155,1,"CL9",153,6.82001636467413,6.89816798265676
"114",156,1,"CL9",154,6.20253551718792,4.65571319901996
"115",157,1,"CL9",155,3.17805383034795,6.74572642545986
"116",158,1,"CL9",156,6.3456363608286,5.11500584624186
"117",159,1,"CL9",157,1.38629436111989,6.71538338633468
"118",160,1,"CL9",158,7.91826468609527,4.67529916712467
"119",162,1,"CL9",160,7.0184017990692,4.07042604564459
"120",163,1,"CL9",161,7.6425241342329,3.89070383307501
"121",164,1,"CL9",162,3.13549421592915,3.01510855252566
"122",168,1,"CL9",166,4.31748811353631,4.88874383042043
"123",169,1,"CL9",167,7.39694860262101,4.07488399781574
"124",170,1,"CL9",168,4.17438726989564,5.30330490805908
"125",171,1,"CL9",169,4.87519732320115,7.35407902215528
"126",172,1,"CL9",170,7.27378631784489,3.89778903298483
"127",173,1,"CL9",171,8.00503334463711,4.99558264948531
"128",174,1,"CL9",172,6.71417052990947,5.12718059898355
"129",176,1,"CL9",174,4.92725368515721,6.85611104583331
"130",177,1,"CL9",175,5.85507192220243,5.37211624470141
"131",178,1,"CL9",176,6.61069604471776,4.63115533518569
"132",179,1,"CL9",177,7.26403014289953,5.71579454052052
"133",180,1,"CL9",178,6.50279004591562,4.76371044640855
"134",183,1,"CL9",181,3.95124371858143,5.88930403417018
"135",186,1,"CL9",184,7.27378631784489,4.89496860267775
"136",187,1,"CL9",185,6.45676965557216,5.55639155783555
"137",188,1,"CL9",186,7.62657020629066,4.76597785677253
"138",189,1,"CL9",187,1.94591014905531,6.63894169084035
"139",190,1,"CL9",188,7.19368581839511,5.28850985045386
"140",193,1,"CL9",191,6.59304453414244,4.07644560124884
"141",194,1,"CL9",192,5.73657229747919,5.37770973872235
"142",195,1,"CL9",193,5.61677109766657,7.15459262938977
"143",196,1,"CL9",194,7.72885582385254,4.45809006592599
"144",197,1,"CL9",195,5.52942908751142,5.73022861409007
"145",198,1,"CL9",196,2.77258872223978,7.23503359502835
"146",199,1,"CL9",197,4.0943445622221,5.41461782225903
"147",200,1,"CL9",198,5.48893772615669,5.0593467460251
"148",201,1,"CL9",199,0,5.99146454710798
"149",202,1,"CL9",200,6.01859321449623,5.13652809778311
"150",203,1,"CL9",201,5.51745289646471,3.69198707026911
"151",204,1,"CL9",202,7.06304816338817,4.77380692171349
"152",205,1,"CL9",203,7.37274636640433,4.52204116694987
"153",206,1,"CL9",204,5.91889385427315,4.66900281288469
"154",207,1,"CL9",205,4.75359019110636,7.43278472163213
"155",208,1,"CL9",206,0.693147180559945,6.75343791859778
"156",209,1,"CL9",207,7.6182510978767,4.23956110231006
"157",210,1,"CL9",208,5.37527840768417,5.97860443138119
"158",211,1,"CL9",209,5.59471137960184,5.21228557043054
"159",213,1,"CL9",211,3.25809653802148,5.25669376879849
"160",214,1,"CL9",212,6.59714570188665,4.02547349192423
"161",216,1,"CL9",214,6.60394382460047,6.45168983273677
"162",217,1,"CL9",215,7.3356339819272,4.95683193296739
"163",218,1,"CL9",216,6.63331843328038,4.96382868766481
"164",219,1,"CL9",217,2.89037175789616,6.22894921568847
"165",220,1,"CL9",218,2.89037175789616,6.02492618721926
"166",222,1,"CL9",220,7.17548971362422,4.99735184510466
"167",223,1,"CL9",221,7.38150189450671,4.94834027625318
"168",224,1,"CL9",222,4.14313472639153,7.69201915478596
"169",225,1,"CL9",223,3.40119738166216,6.53862210011654
"170",226,1,"CL9",224,3.40119738166216,6.45886061294141
"171",228,1,"CL9",226,5.99396142730657,5.56713496252276
"172",229,1,"CL9",227,4.04305126783455,4.99471983880818
"173",230,1,"CL9",228,4.02535169073515,5.22324739338122
"174",231,1,"CL9",229,6.8134445995109,6.38636488654288
"175",232,1,"CL9",230,6.00881318544259,5.31460899578191
"176",233,1,"CL9",231,2.484906649788,5.40866542370198
"177",235,1,"CL9",233,5.50125821054473,5.32718244695809
"178",237,1,"CL9",235,3.36729582998647,7.36812210579703
"179",238,1,"CL9",236,6.55535689181067,5.48082856869151
"180",241,1,"CL9",239,6.3919171133926,5.35059510083059
"181",242,1,"CL9",240,6.34212141872115,5.1136409265318
"182",243,1,"CL9",241,4.64439089914137,5.44946904835858
"183",244,1,"CL9",242,6.93049476595163,3.66756395279424
"184",246,1,"CL9",244,6.97541392745595,6.17232475627844
"185",248,1,"CL9",246,3.25809653802148,6.60716980168821
"186",250,1,"CL9",248,5.48063892334199,7.24425727708904
"187",252,1,"CL9",250,5.93224518744801,3.67013727231163
"188",253,1,"CL9",251,5.01063529409626,5.11238931418004
"189",254,1,"CL9",252,4.71849887129509,5.18298667854631
"190",256,1,"CL9",254,7.33498187887181,5.34155054183419
"191",257,1,"CL9",255,5.26269018890489,5.86890164754075
"192",258,1,"CL9",256,6.63331843328038,5.02875952707506
"193",259,1,"CL9",257,5.4380793089232,5.34254226028173
"194",260,1,"CL9",258,6.64118216974059,3.78041441799974
"195",261,1,"CL9",259,5.4380793089232,6.48662462621775
"196",262,1,"CL9",260,4.61512051684126,7.29850538988021
"197",263,1,"CL9",261,3.40119738166216,6.69414943215254
"198",265,1,"CL9",262,6.02586597382531,4.38903702849068
"199",266,1,"CL9",263,4.18965474202643,4.99125681925071
"200",269,1,"CL9",266,7.19668657083435,5.20143929155319
"201",270,1,"CL9",267,6.96790920180188,4.1107812415561
"202",271,1,"CL9",268,6.62539236800796,4.55164069220092
"203",272,1,"CL9",269,1.09861228866811,6.20455776256869
"204",273,1,"CL9",270,6.88346258641309,5.50021216346493
"205",274,1,"CL9",271,6.77422388635761,4.30753397315015
"206",275,1,"CL9",272,7.60339933974067,3.5804524516153
"207",276,1,"CL9",273,7.86748856869913,4.71064750833375
"208",277,1,"CL9",274,7.09589322109753,5.09778290410019
"209",280,1,"CL9",277,6.61740297797448,5.0888746490139
"210",281,1,"CL9",278,4.66343909411207,6.48657775217052
"211",282,1,"CL9",279,7.0352685992811,4.91571177662175
"212",283,1,"CL9",280,5.3890717298165,5.15038400096354
"213",286,1,"CL9",283,6.74641212857337,4.39302643151374
"214",287,1,"CL9",284,7.05272104923232,5.91669625583772
"215",288,1,"CL9",285,5.18178355029209,4.23149766567932
"216",289,1,"CL9",286,6.38012253689976,4.86525022690993
"217",292,1,"CL9",289,7.06817200038804,4.92288026139052
"218",295,1,"CL9",292,2.07944154167984,6.71916410917459
"219",296,1,"CL9",293,5.2040066870768,7.30105511424586
"220",297,1,"CL9",294,4.33073334028633,5.80782633442296
"221",298,1,"CL9",295,3.25809653802148,6.38506467206753
"222",299,1,"CL9",296,5.53733426701854,4.56488118588024
"223",300,1,"CL9",297,5.70711026474888,5.48650485229942
"224",301,1,"CL9",298,5.91889385427315,6.46190490892529
"225",303,1,"CL9",300,5.32787616878958,4.22278616296441
"226",305,1,"CL9",302,2.89037175789616,6.91605408176377
"227",306,1,"CL9",303,4.12713438504509,6.96533922946297
"228",307,1,"CL9",304,4.70048036579242,5.599599716355
"229",308,1,"CL9",305,5.8111409929767,4.44746529323415
"230",311,1,"CL9",308,5.92157841964382,5.36895321292561
"231",312,1,"CL9",309,3.71357206670431,7.41258736760644
"232",313,1,"CL9",310,3.04452243772342,6.54699034978778
"233",315,1,"CL9",312,4.93447393313069,7.1350169578771
"234",316,1,"CL9",313,2.56494935746154,4.53754999831805
"235",317,1,"CL9",314,5.52146091786225,5.84186184287675
"236",318,1,"CL9",315,6.18620862390049,5.41174709023263
"237",319,1,"CL9",316,1.94591014905531,6.04500531403601
"238",321,1,"CL9",318,4.54329478227,5.18226156175674
"239",322,1,"CL9",319,3.61091791264422,7.08443029335164
"240",324,1,"CL9",321,3.36729582998647,7.21041089325211
"241",326,1,"CL9",323,7.28961052145117,5.88910672401997
"242",327,1,"CL9",324,6.96129604591017,5.95326056808733
"243",328,1,"CL9",325,5.12989871492307,4.47565438869787
"244",329,1,"CL9",326,7.72444664563354,4.07572329606298
"245",331,1,"CL9",328,7.13886699994552,4.58213710830586
"246",332,1,"CL9",329,4.86753445045558,6.33709798815194
"247",336,1,"CL9",333,4.55387689160054,5.65937217852108
"248",337,1,"CL9",334,6.55393340402581,5.43221550105203
"249",339,1,"CL9",336,5.55295958492162,6.00942248877224
"250",342,1,"CL9",339,5.92157841964382,4.73096394541467
"251",344,1,"CL9",341,4.31748811353631,4.70495518728256
"252",345,1,"CL9",342,7.41878088275079,4.44883555939592
"253",346,1,"CL9",343,2.99573227355399,6.85851251240369
"254",347,1,"CL9",344,4.49980967033027,4.61015772749913
"255",348,1,"CL9",345,6.48463523563525,4.81161322474739
"256",349,1,"CL9",346,6.60394382460047,6.17660225677679
"257",350,1,"CL9",347,1.38629436111989,-Inf
"258",351,1,"CL9",348,3.8286413964891,5.27322249914655
"259",352,1,"CL9",349,7.63964228785801,5.10448975279196
"260",353,1,"CL9",350,4.11087386417331,6.33957835874613
"261",354,1,"CL9",351,5.06259503302697,5.6091239811882
"262",357,1,"CL9",354,6.91671502035361,3.81386039659544
"263",358,1,"CL9",355,6.57088296233958,4.89411196887142
"264",359,1,"CL9",356,6.80239476332431,5.79534489966532
"265",360,1,"CL9",357,6.51619307604296,6.36361454653191
"266",361,1,"CL9",358,8.00235954625271,4.7391591378914
"267",363,1,"CL9",360,7.63143166457691,5.94024782336777
"268",364,1,"CL9",361,3.66356164612965,5.38660997368667
"269",365,1,"CL9",362,6.8351845861473,5.22120986309483
"270",366,1,"CL9",363,7.52563997504154,5.19413614924447
"271",368,1,"CL9",365,5.36597601502185,4.64582768099504
"272",369,1,"CL9",366,7.21007962817079,3.87144734666891
"273",371,1,"CL9",368,6.18620862390049,6.45468079078131
"274",372,1,"CL9",369,6.18620862390049,5.34305268167926
"275",374,1,"CL9",371,6.06145691892802,5.5077638097012
"276",375,1,"CL9",372,7.37462901521894,5.01852467605182
"277",376,1,"CL9",373,3.46573590279973,7.24868186595273
"278",377,1,"CL9",374,7.84658997529119,5.50572413194589
"279",379,1,"CL9",376,6.39859493453521,4.62316046432453
"280",380,1,"CL9",377,7.3132203870903,5.78655990111377
"281",381,1,"CL9",378,7.42892719480227,4.77112737838483
"282",382,1,"CL9",379,8.00369733909437,5.2950416194421
"283",383,1,"CL9",380,6.45204895443723,5.05972584876299
"284",386,1,"CL9",382,1.94591014905531,5.57703076903327
"285",387,1,"CL9",383,0.693147180559945,6.07534603108868
"286",388,1,"CL9",384,7.57353126274595,5.6533975143101
"287",391,1,"CL9",387,7.09174211509515,4.73383848341031
"288",392,1,"CL9",388,3.66356164612965,6.74884972288648
"289",395,1,"CL9",391,5.13579843705026,6.73476650654133
"290",396,1,"CL9",392,6.60123011872888,5.48731383381148
"291",397,1,"CL9",393,5.29831736654804,7.30346630364602
"292",398,1,"CL9",394,7.27309259599952,4.71323696008295
"293",399,1,"CL9",395,5.82008293035236,6.1866847533518
"294",400,1,"CL9",396,5.84354441703136,6.14699315914332
"295",401,1,"CL9",397,7.45298232946546,5.73688267472655
"296",402,1,"CL9",398,6.61472560020376,5.15526550090023
"297",403,1,"CL9",399,5.47646355193151,5.93037891423134
"298",405,1,"CL9",401,7.27378631784489,4.28342393923139
"299",406,1,"CL9",402,5.605802066296,4.6317261976642
"300",407,1,"CL9",403,7.7367436824535,4.84795716125964
"301",409,1,"CL9",405,5.21493575760899,6.09728012225303
"302",410,1,"CL9",406,4.72738781871234,5.98201740820875
"303",411,1,"CL9",407,5.32300997913841,5.25881563832172
"304",412,1,"CL9",408,6.11146733950268,5.06500588862842
"305",413,1,"CL9",409,7.13727843726039,3.54771052081485
"306",415,1,"CL9",411,7.77233157516961,4.43502524545566
"307",416,1,"CL9",412,5.29831736654804,5.55912272424384
"308",417,1,"CL9",413,3.52636052461616,5.37077481765527
"309",418,1,"CL9",414,2.484906649788,5.04396260683276
"310",419,1,"CL9",415,7.37650812632622,5.22892771512219
"311",420,1,"CL9",416,7.99395754757357,4.79162874673498
"312",421,1,"CL9",417,2.19722457733622,6.48971138866205
"313",422,1,"CL9",418,6.87523208727658,5.4839006436026
"314",426,1,"CL9",422,6.94505106372583,6.81300515426568
"315",429,1,"CL9",425,7.68708015578313,4.90206201176685
"316",430,1,"CL9",426,5.90536184805457,4.68455033926709
"317",431,1,"CL9",427,7.58731050602262,5.61674898065836
"318",432,1,"CL9",428,5.84354441703136,5.00951389262726
"319",434,1,"CL9",430,4.21950770517611,4.88424918139284
"320",436,1,"CL9",432,4.69134788222914,5.47153800226609
"321",437,1,"CL9",433,4.45434729625351,6.5338057388225
"322",438,1,"CL9",434,6.08449941307517,4.81501383933624
"323",439,1,"CL9",435,6.81892406527552,4.31584012611068
"324",441,1,"CL9",437,6.50279004591562,5.19018773642924
"325",442,1,"CL9",438,8.02649693894541,5.15066139485388
"326",443,1,"CL9",439,7.74283595543075,3.63952513950532
"327",444,1,"CL9",440,5.96100533962327,6.67009645075353
"328",445,1,"CL9",441,6.24416690066374,4.73179428296417
"329",446,1,"CL9",442,5.88332238848828,5.02316556071792
"330",447,1,"CL9",443,5.89164421182577,6.88314553588125
"331",448,1,"CL9",444,3.98898404656427,5.02168513030482
"332",449,1,"CL9",445,6.01615715969835,6.24058958856025
"333",450,1,"CL9",446,6.20657592672493,5.12389197222747
"334",451,1,"CL9",447,7.73149202924568,4.82303082968699
"335",453,1,"CL9",449,2.07944154167984,7.2749991742701
"336",454,1,"CL9",450,2.30258509299405,6.20152285887354
"337",455,1,"CL9",451,6.36818718635049,6.63300692859678
"338",456,1,"CL9",452,7.52886925664225,4.50601166508384
"339",457,1,"CL9",453,6.30261897574491,4.51509718394204
"340",458,1,"CL9",454,4.71849887129509,5.23639446930853
"341",459,1,"CL9",455,6.58063913728495,7.37829967736088
"342",460,1,"CL9",456,3.40119738166216,5.72869186592724
"343",461,1,"CL9",457,4.78749174278205,7.63429693824966
"344",463,1,"CL9",459,2.94443897916644,6.49899527497633
"345",464,1,"CL9",460,4.35670882668959,6.9730627351946
"346",465,1,"CL9",461,4.67282883446191,7.01644203226299
"347",466,1,"CL9",462,6.92559519711047,5.82331033081277
"348",467,1,"CL9",463,7.29573507274928,3.57226178392099
"349",468,1,"CL9",464,0.693147180559945,7.60090245954208
"350",470,1,"CL9",466,3.29583686600433,6.93335082614583
"351",471,1,"CL9",467,4.64439089914137,6.72846757693726
"352",472,1,"CL9",468,7.43779512167193,4.63084137473854
"353",473,1,"CL9",469,6.13988455222626,5.00064300834233
"354",475,1,"CL9",471,4.29045944114839,5.81228872222714
"355",476,1,"CL9",472,6.40357419793482,7.21434237107438
"356",478,1,"CL9",474,5.30330490805908,5.16833333487789
"357",479,1,"CL9",475,1.38629436111989,4.56434819146784
"358",480,1,"CL9",476,3.04452243772342,7.52126641519897
"359",482,1,"CL9",477,4.66343909411207,6.13607525662395
"360",483,1,"CL9",478,3.43398720448515,5.71042701737487
"361",484,1,"CL9",479,6.52356230614951,5.11217353616459
"362",485,1,"CL9",480,4.95582705760126,7.506502780616
"363",487,1,"CL9",482,7.77106708606541,4.77423826821135
"364",488,1,"CL9",483,3.78418963391826,4.77625459949995
"365",489,1,"CL9",484,2.39789527279837,6.87963634871533
"366",490,1,"CL9",485,7.29437729928882,6.58412683700444
"367",491,1,"CL9",486,6.30809844150953,4.54683460897159
"368",492,1,"CL9",487,7.72797554210556,6.6253094368239
"369",493,1,"CL9",488,4.79579054559674,7.15526080973604
"370",496,1,"CL9",491,6.48004456192665,5.31790945800663
"371",499,1,"CL9",494,6.78332520060396,4.23604137549772
"372",502,1,"CL9",497,5.2257466737132,4.78753654461176
"373",505,1,"CL9",500,4.80402104473326,4.3957638133028
"374",507,1,"CL9",502,4.27666611901606,7.38607492851831
"375",508,1,"CL9",503,7.96797317966293,5.2876650574743
"376",509,1,"CL9",504,2.19722457733622,7.35883089834235
"377",511,1,"CL9",506,8.04012466444838,5.48842089725173
"378",512,1,"CL9",507,6.8001700683022,5.77539848030321
"379",513,1,"CL9",508,6.4393503711001,6.9801725255717
"380",514,1,"CL9",509,6.20859002609663,5.91082936011782
"381",515,1,"CL9",510,4.51085950651685,5.79140416596893
"382",516,1,"CL9",511,5.34233425196481,5.12879394589636
"383",518,1,"CL9",513,7.74759683869289,5.12910893750968
"384",519,1,"CL9",514,5.19295685089021,7.68992777942413
"385",520,1,"CL9",515,5.21493575760899,4.26214390980273
"386",521,1,"CL9",516,5.86929691313377,5.32128601914369
"387",522,1,"CL9",517,6.52795791762255,5.45363278135095
"388",523,1,"CL9",518,5.19849703126583,4.24080990533038
"389",524,1,"CL9",519,5.28826703069454,4.54731634322997
"390",525,1,"CL9",520,4.38202663467388,5.84452219971559
"391",527,1,"CL9",522,4.57471097850338,6.04678708431836
"392",529,1,"CL9",524,5.54907608489522,6.85983944064745
"393",530,1,"CL9",525,4.82028156560504,5.72952358014996
"394",531,1,"CL9",526,7.84149292446001,5.47911949129788
"395",533,1,"CL9",528,6.47697236288968,5.01086090964315
"396",534,1,"CL9",529,5.82894561761021,5.56649051855856
"397",535,1,"CL9",530,3.17805383034795,7.34601020991329
"398",537,1,"CL9",532,6.08449941307517,6.01239990169493
"399",538,1,"CL9",533,4.38202663467388,7.29088956660529
"400",540,1,"CL9",535,5.02388052084628,6.99798679472207
"401",541,1,"CL9",536,6.7428806357919,5.22627909431778
"402",542,1,"CL9",537,6.42648845745769,4.60762671315305
"403",543,1,"CL9",538,5.28826703069454,6.09551738994427
"404",544,1,"CL9",539,5.94803498918065,4.57707688900285
"405",546,1,"CL9",541,7.0604763659998,3.27958728967132
"406",547,1,"CL9",542,6.75576892198425,4.75970329725055
"407",548,1,"CL9",543,2.70805020110221,6.73894207221692
"408",549,1,"CL9",544,7.44658509915773,4.02660111825042
"409",550,1,"CL9",545,7.23201033166476,3.60999900157474
"410",551,1,"CL9",546,5.28826703069454,5.09878799481699
"411",552,1,"CL9",547,5.27811465923052,7.1723501777341
"412",553,1,"CL9",548,5.72358510195238,6.82685708566008
"413",556,1,"CL9",551,7.5422134631934,4.72901001595544
"414",559,1,"CL9",553,6.30078579466324,4.73571547327201
"415",560,1,"CL9",554,7.85670679309584,5.134777670775
"416",562,1,"CL9",556,4.56434819146784,7.28033843041645
"417",563,1,"CL9",557,4.53259949315326,5.14342268242654
"418",564,1,"CL9",558,7.62119516280984,5.89893308515385
"419",565,1,"CL9",559,7.14755927118945,4.74693470569219
"420",566,1,"CL9",560,7.44014668066269,5.10837672304804
"421",567,1,"CL9",561,4.9416424226093,5.13032127989028
"422",569,1,"CL9",563,7.96346006663897,4.54309117546908
"423",570,1,"CL9",564,7.16626597413364,5.04952430192089
"424",571,1,"CL9",565,4.29045944114839,7.63026174727028
"425",572,1,"CL9",566,7.66481578528574,4.4437322303569
"426",573,1,"CL9",567,4.85981240436167,6.10640115827246
"427",574,1,"CL9",568,7.77064523412918,4.85911219524147
"428",575,1,"CL9",569,6.68085467879022,3.51152671170045
"429",576,1,"CL9",570,6.41345895716736,4.92873749702456
"430",577,1,"CL9",571,4.12713438504509,7.2160224049813
"431",578,1,"CL9",572,2.07944154167984,7.11069612297883
"432",579,1,"CL9",573,7.06987412845857,5.4501914043199
"433",580,1,"CL9",574,6.04737217904628,6.37047968772638
"434",581,1,"CL9",575,6.52649485957079,4.6614619482051
"435",582,1,"CL9",576,6.13988455222626,5.49168579913958
"436",583,1,"CL9",577,6.31173480915291,6.60612275031755
"437",585,1,"CL9",579,5.6021188208797,7.67665838778424
"438",586,1,"CL9",580,7.73017479524622,4.80845170574412
"439",588,1,"CL9",582,7.55642796944025,5.21059956702803
"440",590,1,"CL9",584,5.98141421125448,5.40482495135543
"441",594,1,"CL9",588,3.40119738166216,6.42004921548463
"442",596,1,"CL9",590,7.04141166379481,5.77161281589776
"443",598,1,"CL9",592,7.6586995582683,4.59634894847357
"444",600,1,"CL9",594,3.40119738166216,7.41537577177912
"445",601,1,"CL9",595,1.6094379124341,7.64491934495886
"446",602,1,"CL9",596,5.43372200355424,5.02909558183807
"447",603,1,"CL9",597,5.73009978297357,4.54052776334628
"448",604,1,"CL9",598,3.25809653802148,5.25106448170152
"449",605,1,"CL9",599,4.23410650459726,5.24067290110414
"450",607,1,"CL9",601,7.72621265050753,5.11849026987992
"451",608,1,"CL9",602,0,1.6094379124341
"452",610,1,"CL9",604,6.3456363608286,5.2694394727667
"453",611,1,"CL9",605,5.0998664278242,5.914952185799
"454",612,1,"CL9",606,5.25227342804663,7.09312628273292
"455",614,1,"CL9",608,6.96979066990159,4.03613517613365
"456",616,1,"CL9",610,4.57471097850338,7.32325237223343
"457",618,1,"CL9",612,5.87773578177964,3.6881789287033
"458",619,1,"CL9",613,7.36010397298915,4.91444007471992
"459",620,1,"CL9",614,5.27299955856375,7.20285210182907
"460",621,1,"CL9",615,4.45434729625351,5.7179834868333
"461",622,1,"CL9",616,5.52545293913178,5.1948585386464
"462",623,1,"CL9",617,2.39789527279837,7.33717362813646
"463",624,1,"CL9",618,5.98141421125448,5.77066200349575
"464",625,1,"CL9",619,3.17805383034795,6.10980298405607
"465",626,1,"CL9",620,7.25629723969068,6.53023342842275
