store_id,CLUSTER,CLUSNAME,VAR1,n,avg,hour2_p,hour6_p,hour10_p,hour14_p,hour18_p,hour22_p,mean_install,count_install_p,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
225,1,CL15,223,30,691.33333333,0,0,16.666666667,66.666666667,10,0,0.2333333333,0.0666666667,1.3386272798,-0.45722512,0.1668438418,-1.628475822,0.006552331,1.300587467,0.2254217631,-0.14943389,0.1024287472,-0.102461679
226,1,CL15,224,30,638.33333333,0,0,16.666666667,66.666666667,13.333333333,0,0,0,0.9785245353,-0.845187894,0.1942042968,-1.653392437,-0.175534664,1.2637187289,0.4165787355,-0.10249596,0.2470083832,-0.024539647
229,1,CL15,227,57,147.63157895,0,0,24.561403509,35.087719298,40.350877193,0,0.1403508772,0.0526315789,0.3834891805,-0.608081476,-0.681547199,-0.409987165,-0.101259438,-0.061635955,-0.099809509,0.2313613002,-0.051275931,0.1188698768
232,1,CL15,230,407,203.28501229,0,0,18.918918919,34.398034398,43.243243243,0,0.0442260442,0.0171990172,0.0812791187,-0.727578769,-0.785180664,-0.312456132,-0.219540337,0.1222327215,0.0287111602,0.2443931007,0.0563199832,0.0362203916
233,1,CL15,231,12,223.33333333,0,0,25,66.666666667,8.3333333333,0,0,0,1.1361311441,-0.986953835,0.5065830278,-1.802926657,-0.001875212,0.9908700813,0.2706850447,-0.143476017,0.216701207,0.0444949459
235,1,CL15,233,245,205.85714286,0,0,22.857142857,42.857142857,34.285714286,0,0.1102040816,0.0285714286,0.4872991327,-0.726060966,-0.454828197,-0.685820065,-0.097668312,0.2675962311,0.0266654365,0.1552269971,0.0828952289,0.1017498161
237,1,CL15,235,29,1584.6551724,0,0,10.344827586,44.827586207,41.379310345,0,0.2068965517,0.0689655172,0.5615844933,-0.205198357,-1.004738313,-0.444300895,-0.394530738,0.7128285344,0.416512241,0.223296716,0.0478697834,0.0417646943
243,1,CL15,241,104,232.63461538,0,0,28.846153846,49.038461538,17.307692308,0,0.1442307692,0.0480769231,0.9824283068,-0.662731491,0.1769065536,-1.175348232,0.0954496749,0.2926015518,0.035186551,-0.047812181,0.0218303103,-0.047299131
244,1,CL15,242,1023,39.156402737,0.0977517107,3.0303030303,24.242424242,42.424242424,23.8514174,1.4662756598,0.0029325513,0.0009775171,0.4718168545,-0.832728324,0.2827806481,-0.615435582,-0.26727607,0.3752282064,-0.059713295,-0.038306873,0.1046040078,-0.027214462
249,1,CL15,247,3422,209.10549386,0,2.8053769725,25.832846289,41.496201052,29.164231444,0,0.0663354763,0.0227936879,0.5568576347,-0.900572676,0.2136080638,-0.087752848,0.1106375247,0.4649225088,0.064264511,0.0663508798,0.0455907264,0.0704931968
263,1,CL15,261,30,807.66666667,0,0,6.6666666667,76.666666667,16.666666667,0,0,0,0.9737643704,-0.820786968,-0.086635091,-1.769134374,-0.321954699,1.927983275,0.5266618804,-0.063978222,0.3040280669,0.0655354281
266,1,CL15,263,66,147.12121212,0,0,34.848484848,53.03030303,10.606060606,0,0,0,1.0178565037,-0.993840472,0.5985544103,-1.478772317,0.1012601634,0.201503729,0.1730049411,-0.111656201,0.1532591149,0.0099055794
275,1,CL15,272,2005,35.889775561,0,0.1496259352,21.14713217,39.301745636,37.905236908,0.1496259352,0,0,0.1610902172,-0.955439658,-0.412571149,-0.307820982,0.0433245537,0.3461911818,0.1191600827,0.1673219499,0.1093558858,0.0721632961
289,1,CL15,286,590,129.70338983,0,0.1694915254,22.033898305,35.254237288,36.101694915,0,0.0322033898,0.0118644068,0.2029086679,-0.774164251,-0.456664619,-0.453581098,-0.132222497,0.0770707505,0.0271142564,0.1533295211,0.0666714647,-0.053043048
295,1,CL15,292,8,828.125,0,0,25,50,12.5,0,0,0,0.8394749381,-0.730823955,0.3561015254,-1.318390826,-0.116137398,0.4249675882,0.398160498,-0.129185661,0.1853463703,-0.251004678
296,1,CL15,293,182,1481.8626374,0,0,16.483516484,43.406593407,35.714285714,0,0.3241758242,0.1098901099,0.8759848504,-0.051528449,-0.778169345,-0.474194249,-0.161791707,0.4962901597,0.2685671977,0.1606712309,-0.084339515,0.0122082978
297,1,CL15,294,76,332.89473684,0,0,3.9473684211,53.947368421,38.157894737,0,0.1052631579,0.0394736842,0.3574368852,-0.570358898,-0.930072463,-0.82431979,-0.354844136,1.2780070725,0.1020466517,0.1722134307,0.0842637411,0.0212539341
299,1,CL15,296,254,96.051181102,0,6.6929133858,31.102362205,39.37007874,21.25984252,0,0.0472440945,0.0157480315,0.7821359651,-0.782928511,0.6674430463,-0.430522196,-0.654432669,0.0801859738,-0.335161974,0.008036357,0.0432618223,0.0375821251
300,1,CL15,297,301,241.41196013,0,0,28.239202658,46.179401993,24.584717608,0,0.0431893688,0.0166112957,0.6906284092,-0.84279692,-0.001902577,-0.9734513,-0.007798254,0.2048266153,0.1224905737,0.0447385624,0.0918813542,0.0551011135
307,1,CL15,304,110,270.31818182,0,0,30,59.090909091,8.1818181818,0,0.2727272727,0.1,1.5240104777,-0.475345094,0.4106980326,-1.514534488,0.2829767978,0.6195543981,-0.025901532,-0.144515662,-0.104872176,-0.006828454
315,1,CL15,312,139,1255.1582734,0,0,17.985611511,68.345323741,11.510791367,0,0.2877697842,0.0287769784,1.3661767401,-0.50216412,0.1784650597,-1.588696298,-0.069728527,1.2758637574,0.4700853821,-0.121994739,0.396525353,-0.000875166
316,1,CL15,313,13,93.461538462,0,0,30.769230769,61.538461538,7.6923076923,0,0,0,1.1338326238,-1.022000954,0.6261802897,-1.725530576,0.0791947174,0.6258235142,0.1978521516,-0.145255017,0.1853253534,0.0418677415
328,1,CL15,325,169,87.852071006,0,0,28.99408284,60.355029586,6.5088757396,0,0,0,1.0870944063,-0.986793731,0.6454523961,-1.699191785,0.0886944918,0.6679688414,0.197459084,-0.174545941,0.1802337199,-0.060893858
339,1,CL15,336,258,407.24806202,0.3875968992,0,16.666666667,45.348837209,36.434108527,0.3875968992,0.0310077519,0.011627907,0.3013601793,-0.724603632,-0.570316005,-0.705857424,-0.24188689,0.5539346169,0.1761573721,0.1979953102,0.1279129941,0.0886760668
340,1,CL15,337,12,2313,0,0,50,50,0,0,1.3333333333,0.1666666667,2.8120688274,0.6307215219,0.6741389863,-1.12457269,0.744589039,-0.413983035,0.0388195116,-0.222192206,0.5788883009,0.0265455671
345,1,CL15,342,1667,85.527294541,0,0.0599880024,20.575884823,60.707858428,17.216556689,0,0.0017996401,0.00059988,0.8074268226,-1.022133191,0.2464125423,-1.239859205,0.1396069755,1.0765042851,0.2573024743,-0.065288718,0.1860622849,0.0267237596
353,1,CL15,350,61,566.55737705,0,0,3.2786885246,52.459016393,39.344262295,0,0,0,0.1612638959,-0.704914039,-0.910018233,-0.798347083,-0.489583176,1.2244378862,0.2869091705,0.1817367951,0.2089920062,-0.006520279
354,1,CL15,351,158,272.90506329,0,0,29.746835443,39.873417722,27.848101266,0,0.1835443038,0.0253164557,0.6641260843,-0.689049245,-0.141035511,-0.761175194,0.0185209626,-0.06835235,0.0047742688,0.0789487436,0.1532381376,0.0230115217
363,1,CL15,360,2062,380.02909796,0,0,19.883608147,36.517943744,41.75557711,0.0969932105,0.120756547,0.0441319108,0.2752791908,-0.665753193,-0.658973789,-0.090114106,0.0841203416,0.2998349932,0.1142537167,0.2143306403,-0.007745409,0.0769792419
369,1,CL15,366,1353,48.011825573,0,0,24.242424242,38.507021434,36.881005174,0,0.0014781966,0.0007390983,0.2277497893,-0.947965482,-0.383502113,-0.424558974,0.00448952,0.1548820396,0.0945999515,0.174222364,0.1042846832,0.0924680434
372,1,CL15,369,486,209.15020576,0,0.4115226337,32.9218107,53.909465021,12.139917695,0,0.1152263374,0.0411522634,1.1762212258,-0.794368518,0.4947993268,-1.314069511,0.1743927581,0.3562469837,0.0806934687,-0.095406142,0.0429304125,0.041698692
374,1,CL15,371,429,246.5990676,0,0,31.701631702,51.748251748,15.151515152,0.2331002331,0.2331002331,0.0769230769,1.2348908223,-0.574144477,0.2659223029,-1.194930915,0.258907193,0.3212903088,-0.011179603,-0.071328014,-0.044945663,0.0424527697
376,1,CL15,373,32,1406.25,0,0,43.75,37.5,6.25,0,0.1875,0.0625,1.3660145348,-0.380839562,0.7574005613,-1.082151668,0.205605613,-0.622576216,0.3728937824,-0.178384822,-0.013823402,-0.258963165
396,1,CL15,392,736,241.60733696,0,0,29.483695652,53.804347826,10.461956522,0,0.1535326087,0.0475543478,1.1576421693,-0.701896329,0.4600045524,-1.31958837,0.2429673314,0.4918294428,0.0984626039,-0.137677372,0.0466319011,-0.097700083
397,1,CL15,393,200,1485.44,0,0.5,16.5,45,33.5,0.5,0.235,0.085,0.8091447205,-0.173983605,-0.606606344,-0.550494896,-0.25782959,0.5571433892,0.3349482959,0.1144029726,-0.028209829,0.0189577938
406,1,CL15,402,272,102.69117647,0,0,31.25,57.352941176,6.25,0,0,0,1.073618775,-0.983397369,0.6985495541,-1.627252535,0.1265708378,0.4994262796,0.1928748526,-0.179050891,0.1672141468,-0.086540796
409,1,CL15,405,184,444.64673913,0,0,18.47826087,40.217391304,38.043478261,0,0.1086956522,0.0326086957,0.3550757438,-0.6113061,-0.667523676,-0.534885185,-0.206255205,0.3187102775,0.0872473693,0.1868005098,0.0668706146,0.0321844479
412,1,CL15,408,451,158.38137472,0.22172949,0,23.059866962,40.133037694,34.589800443,0,0.1064301552,0.0332594235,0.4266134927,-0.692443985,-0.442630229,-0.597252304,-0.054730846,0.194723839,0.0005160905,0.1757412876,0.0403074674,0.053735443
413,1,CL15,409,1258,34.733704293,0,0.8744038156,39.745627981,51.589825119,6.200317965,0,0,0,1.1195301935,-1.083488847,0.9777472846,-1.308396423,0.2781652002,0.1167134393,0.142076154,-0.169995845,0.1297400589,-0.00315802
417,1,CL15,413,34,215.02941176,0,0,17.647058824,50,32.352941176,0,0,0,0.412989954,-0.872581461,-0.429286424,-0.941662448,-0.245885412,0.6584465087,0.1546167678,0.1288333107,0.1675505013,0.0953854584
434,1,CL15,430,68,132.19117647,0,0,38.235294118,51.470588235,7.3529411765,0,0,0,1.083368259,-1.000995811,0.7653693442,-1.518486604,0.1608669958,0.0394641917,0.163175823,-0.150241793,0.1423470059,-0.032195522
438,1,CL15,434,439,123.34851936,0,0.9111617312,27.334851936,39.407744875,31.207289294,0.2277904328,0.0045558087,0.0022779043,0.4054839674,-0.887850975,-0.132598015,-0.631852413,-0.157999686,0.0371197036,0.0331183978,0.1095548835,0.1017138052,0.0713065764
439,1,CL15,435,915,74.876502732,0,0,10.382513661,58.797814208,30.273224044,0,0,0,0.4435240829,-0.927297657,-0.42075539,-1.036867478,-0.162849203,1.2833456575,0.1947063031,0.0861678035,0.1955110211,0.0785510927
446,1,CL15,442,359,151.8913649,0,3.6211699164,25.348189415,38.440111421,31.47632312,0,0.0167130919,0.008356546,0.4442018806,-0.815350553,0.0134830879,-0.407240112,-0.472630491,0.1472288295,-0.130437805,0.1211768889,0.0717802922,0.067997818
461,1,CL15,457,120,2067.9166667,0,5,16.666666667,77.5,0,0,0.0416666667,0.0166666667,1.6991019841,-0.544800685,0.9935133185,-1.647948446,-0.733030153,1.7502002711,0.697997208,-0.245600436,0.2941398212,0.0134908745
463,1,CL15,459,19,664.47368421,0,0,5.2631578947,84.210526316,10.526315789,0,0,0,1.1434677703,-0.868075525,0.0981579086,-2.06635385,-0.27732195,2.2406726334,0.5192188596,-0.137502187,0.3238352037,0.0534708751
467,1,CL15,463,1474,35.597014925,0,0,16.282225237,50.542740841,31.614654003,0,0,0,0.3654557469,-0.954131657,-0.329651238,-0.760224222,-0.025166954,0.8504210131,0.1648605122,0.0995541586,0.1558134727,0.0544657715
471,1,CL15,467,104,835.86538462,0,0.9615384615,25,46.153846154,23.076923077,0,0.1538461538,0.0480769231,0.8951931118,-0.510448576,-0.016337133,-0.870887722,-0.157771284,0.328432948,0.1770139698,0.0172983947,0.0548646071,-0.034708193
475,1,CL15,471,73,334.38356164,0,1.3698630137,31.506849315,43.835616438,16.438356164,0,0.1643835616,0.0547945205,1.0142489733,-0.577038098,0.3388059447,-0.975170495,-0.018734662,0.0678858528,-0.050595176,-0.060005165,-0.017028348,-0.097431557
479,1,CL15,475,4,96,0,0,25,50,0,25,0,0,0.1762980167,-0.089753251,1.0147309807,-1.762981333,0.1679332935,0.495948655,0.1542186356,-1.290598837,0.1302565648,0.2791336638
480,1,CL15,476,21,1846.9047619,0,0,4.7619047619,57.142857143,23.80952381,14.285714286,0.2857142857,0.0952380952,0.6355930197,0.4136143439,-0.427068779,-1.081810775,-0.241474216,1.3638496781,0.5235623212,-0.575577837,0.0304020071,0.2386853655
483,1,CL15,478,31,302,0,0,9.6774193548,64.516129032,25.806451613,0,0.3548387097,0.1290322581,1.1954286099,-0.239696971,-0.588210713,-1.211787388,-0.00272947,1.480660004,-0.094324283,0.0495363489,-0.140646937,0.1052815816
485,1,CL15,480,142,1819.8380282,0,2.8169014085,21.126760563,30.985915493,35.915492958,0,0,0,0.331473254,-0.459948353,-0.28427496,-0.123736182,-0.720084484,-0.053668804,0.4899644279,0.1520536204,0.1703695285,-0.120273518
491,1,CL15,486,549,94.333333333,0,0,38.615664845,53.734061931,6.1930783242,0,0,0,1.1367252055,-1.051961026,0.8442329948,-1.520154153,0.2489720888,0.141828552,0.1872265456,-0.163889785,0.1469070154,0.0007297617
495,1,CL15,490,22,3646.2727273,0,4.5454545455,4.5454545455,81.818181818,4.5454545455,0,0,0,1.6267988665,-0.279509375,0.6127906648,-1.573843301,-1.08901294,2.2284011824,1.3577966406,-0.210990419,0.4603564212,-0.068711202
505,1,CL15,500,122,81.106557377,0,0,19.672131148,55.737704918,24.590163934,0,0,0,0.6286516589,-0.936231286,-0.125351449,-1.223015144,-0.140372487,0.8022793593,0.1485054779,0.0390789805,0.1773435467,0.0790097904
524,1,CL15,519,198,94.378787879,0,0,31.313131313,32.828282828,34.848484848,0,0,0,0.2873908031,-0.903626868,-0.27285552,-0.529972626,-0.082374046,-0.371348919,0.0282541965,0.1675617326,0.0850391384,0.0724538242
527,1,CL15,522,97,422.75257732,0,3.0927835052,47.422680412,38.144329897,11.340206186,0,0.5360824742,0.0927835052,1.6106460518,-0.315809969,0.7797778009,-0.747585591,0.178268282,-0.607722499,-0.378420855,-0.087428237,0.0872638669,0.0554840195
529,1,CL15,524,257,953.21400778,0,1.5564202335,29.961089494,64.980544747,2.7237354086,0,0,0,1.3804916899,-0.878960893,0.9097098717,-1.681883227,-0.128354459,0.8115597826,0.4635524091,-0.205746187,0.2382711832,0.0128941537
534,1,CL15,529,340,261.51470588,0,4.4117647059,22.941176471,42.058823529,29.411764706,0,0.2058823529,0.0323529412,0.6935287788,-0.596029499,0.0270994721,-0.406935357,-0.486807173,0.3828931519,-0.245919918,0.0929272791,0.1360040665,0.0643647781
535,1,CL15,530,24,1550,0,0,4.1666666667,50,41.666666667,0,0,0,0.2290402293,-0.538599315,-0.983059932,-0.628896997,-0.62034649,1.0699904523,0.631672431,0.2155320473,0.2533483031,0.0154547862
537,1,CL15,532,439,408.46241458,0,0.4555808656,26.651480638,44.646924829,27.562642369,0,0.2323462415,0.0751708428,0.8999837624,-0.498698924,-0.204684026,-0.734209968,0.0479673124,0.2486679544,-0.024743961,0.0796797279,-0.046891268,0.0781723634
538,1,CL15,533,80,1466.875,0,0,13.75,35,47.5,0,0.0625,0.025,0.1464958859,-0.433477133,-1.061531515,-0.173404407,-0.488214769,0.2481444508,0.4541268677,0.2953847523,0.1083138166,0.0394047875
547,1,CL15,542,859,116.7112922,0,0.5820721769,16.880093132,43.538998836,37.834691502,0,0.0128055879,0.0046565774,0.2242424081,-0.859103683,-0.536636365,-0.524058818,-0.213373583,0.5531994915,0.0751589323,0.1805003195,0.1222870083,0.0785735526
550,1,CL15,545,1383,36.966015907,0,0,31.597975416,34.417932032,31.742588576,0,0,0,0.3351501365,-0.969546749,-0.083188165,-0.451347801,0.1209796288,-0.223754429,0.078778776,0.116248926,0.0825813276,0.0345263066
551,1,CL15,546,198,163.82323232,0,0,27.272727273,54.04040404,18.686868687,0,0.0353535354,0.0151515152,0.8732389472,-0.894923348,0.1793937866,-1.284416341,0.0146559553,0.5008233331,0.1423185534,-0.021443606,0.1173154882,0.0675437029
559,1,CL15,553,545,113.94495413,0,0,20.550458716,62.935779817,15.229357798,0,0.0110091743,0.0036697248,0.9019343353,-0.959998787,0.2271186728,-1.497946509,0.0005110719,1.0614772034,0.2187954773,-0.076891383,0.1910160827,0.0284397281
564,1,CL15,558,2041,364.64821166,0.0979911808,5.928466438,29.152376286,42.773150416,19.941205292,0.3919647232,0.0779029887,0.0284174424,0.8580548102,-0.752455905,0.7243198784,-0.278743421,-0.326450615,0.3841334053,-0.11763093,-0.031731172,0.0279315923,0.0344391603
575,1,CL15,569,797,33.499372647,0,0.1254705144,41.781681305,48.682559598,8.2810539523,0,0,0,1.0665877859,-1.072427322,0.8534542228,-1.332134088,0.2978029266,-0.1134788,0.1425302062,-0.137803511,0.1215470092,0.0119594176
